order_id,created_at,client_id,manager,status_group,revenue,cost,source,city
ORD-00057,2026-03-26 22:25:57,CLIENT-0021,Иван Петров,complete,74332,55151.26,Instagram,Казань
ORD-00058,2026-01-24 13:30:22,CLIENT-0072,Елена Волкова,in_progress,13973,11650.35,,Москва
ORD-00059,2026-03-12 08:24:39,CLIENT-0222,Мария Орлова,cancel,53115,43872.93,Telegram,Новосибирск
ORD-00060,2026-05-31 18:31:27,CLIENT-0308,Иван Петров,cancel,30789,15322.91,Instagram,Казань
ORD-00061,2026-04-23 08:08:52,CLIENT-0098,Елена Волкова,complete,76318,34465.48,Instagram,Москва
ORD-00062,2026-06-25 18:20:15,CLIENT-0106,Анна Смирнова,cancel,34750,27248.62,Google,Екатеринбург
ORD-00063,2026-05-13 07:14:14,CLIENT-0229,Анна Смирнова,in_progress,35883,28094.31,Website,Екатеринбург
ORD-00064,2026-04-02 23:18:55,CLIENT-0293,Анна Смирнова,complete,18964,14367.64,Referral,Казань
ORD-00065,2026-06-06 16:18:21,CLIENT-0346,Дмитрий Соколов,new,4732,3161.52,Website,Санкт-Петербург
ORD-00066,2026-06-13 22:58:02,CLIENT-0347,Елена Волкова,complete,43796,27366.7,Telegram,Казань
ORD-00067,2026-07-03 12:40:27,CLIENT-0277,Дмитрий Соколов,complete,61923,36539.84,Telegram,Екатеринбург
ORD-00068,2026-02-27 13:04:03,CLIENT-0286,Мария Орлова,complete,52487,31647.26,Google,Екатеринбург
ORD-00069,2026-02-23 09:56:39,CLIENT-0265,Дмитрий Соколов,cancel,63500,43836.14,Telegram,Казань
ORD-00070,2026-01-05 10:59:03,CLIENT-0270,Алексей Кузнецов,complete,72593,38397.66,Google,Екатеринбург
ORD-00071,2026-03-16 02:25:49,CLIENT-0359,Дмитрий Соколов,in_progress,79602,66849.32,Referral,Москва
ORD-00072,2026-02-27 08:10:09,CLIENT-0209,Анна Смирнова,complete,41127,28865.81,Website,Новосибирск
ORD-00073,2026-04-25 10:41:56,CLIENT-0136,Алексей Кузнецов,complete,4327,2551.98,Website,Екатеринбург
ORD-00074,2026-04-17 11:38:54,CLIENT-0240,Мария Орлова,complete,36993,23816.73,Instagram,Екатеринбург
ORD-00075,2026-06-07 19:40:51,CLIENT-0227,Елена Волкова,complete,49553,23626.85,Google,Санкт-Петербург
ORD-00076,2026-01-08 13:47:50,CLIENT-0107,Анна Смирнова,complete,39149,27091.01,Instagram,Казань
ORD-00077,2026-04-26 14:41:21,CLIENT-0240,Дмитрий Соколов,new,71576,51070.48,Instagram,Москва
ORD-00078,2026-05-21 06:22:34,CLIENT-0313,Алексей Кузнецов,complete,75907,42348.84,Website,Екатеринбург
ORD-00079,2026-03-23 10:54:35,CLIENT-0169,Мария Орлова,complete,37016,29490.17,Website,Екатеринбург
ORD-00080,2026-05-02 16:04:24,CLIENT-0222,Анна Смирнова,complete,55769,32157.06,Referral,Казань
ORD-00081,2026-05-16 14:32:39,CLIENT-0297,Дмитрий Соколов,complete,24709,19728.19,Telegram,Санкт-Петербург
ORD-00082,2026-01-29 07:38:48,CLIENT-0071,Алексей Кузнецов,complete,24303,12283.9,Referral,Казань
ORD-00083,2026-04-15 02:35:39,CLIENT-0157,Анна Смирнова,in_progress,30025,22140.16,Google,Новосибирск
ORD-00084,2026-04-11 23:15:32,CLIENT-0306,Анна Смирнова,cancel,27479,12859.96,Google,Москва
ORD-00085,2026-02-26 21:56:30,CLIENT-0141,Дмитрий Соколов,complete,60971,35788.59,Google,Санкт-Петербург
ORD-00086,2026-06-09 09:06:00,CLIENT-0385,Анна Смирнова,complete,67883,42761.24,Google,Санкт-Петербург
ORD-00087,2026-04-22 00:20:36,CLIENT-0367,Алексей Кузнецов,complete,54064,28911.42,Telegram,Екатеринбург
ORD-00088,2026-06-05 09:23:57,CLIENT-0003,Мария Орлова,cancel,9057,4131.48,Referral,Новосибирск
ORD-00089,2026-02-05 06:43:41,CLIENT-0389,Иван Петров,cancel,55419,28486.87,Website,Москва
ORD-00090,2026-03-26 11:53:58,CLIENT-0195,Иван Петров,complete,74116,35045.59,Telegram,Новосибирск
ORD-00091,2026-01-18 06:08:19,CLIENT-0269,Иван Петров,cancel,7649,5085.0,Referral,Казань
ORD-00092,2026-06-03 01:26:17,CLIENT-0067,Дмитрий Соколов,new,6620,4302.11,Website,Санкт-Петербург
ORD-00093,2026-01-15 00:53:30,CLIENT-0329,Анна Смирнова,complete,38123,31940.9,Website,Москва
ORD-00094,2026-02-02 19:41:09,CLIENT-0287,Иван Петров,in_progress,59160,40947.07,Website,Казань
ORD-00095,2026-02-13 02:09:40,CLIENT-0340,Мария Орлова,complete,73307,45424.53,Google,Екатеринбург
ORD-00096,2026-06-15 08:01:31,CLIENT-0105,Иван Петров,in_progress,15657,7991.39,Referral,Москва
ORD-00097,2026-01-21 13:51:50,CLIENT-0190,Мария Орлова,cancel,70218,44775.68,Google,Москва
ORD-00098,2026-05-31 21:50:06,CLIENT-0391,Алексей Кузнецов,new,19803,16004.1,Website,Москва
ORD-00099,2026-02-19 07:21:18,CLIENT-0018,Иван Петров,new,45652,22109.91,Referral,Казань
ORD-00100,2026-04-14 12:27:06,CLIENT-0348,Алексей Кузнецов,in_progress,52831,40826.09,Telegram,Санкт-Петербург
ORD-00101,2026-02-24 20:53:56,CLIENT-0201,Елена Волкова,in_progress,47389,30979.52,,Новосибирск
ORD-00102,2026-06-07 12:27:43,CLIENT-0287,Елена Волкова,complete,61800,40757.01,Website,Екатеринбург
ORD-00103,2026-02-16 16:04:59,CLIENT-0103,Елена Волкова,complete,41184,30775.63,Telegram,Казань
ORD-00104,2026-06-09 02:16:32,CLIENT-0154,Дмитрий Соколов,in_progress,78354,37292.21,Referral,Екатеринбург
ORD-00105,2026-04-14 01:58:52,CLIENT-0384,Елена Волкова,in_progress,49218,27516.2,Website,Москва
ORD-00106,2026-02-19 12:44:54,CLIENT-0294,Мария Орлова,new,45673,34888.81,Google,Новосибирск
ORD-00107,2026-03-09 03:55:35,CLIENT-0041,Иван Петров,cancel,52876,41045.09,Referral,Санкт-Петербург
ORD-00108,2026-06-20 22:07:03,CLIENT-0360,Мария Орлова,complete,36019,27503.37,Instagram,Казань
ORD-00109,2026-01-20 03:42:32,CLIENT-0175,Анна Смирнова,complete,63892,44041.05,Instagram,Москва
ORD-00110,2026-05-27 08:04:42,CLIENT-0058,Алексей Кузнецов,complete,76764,38640.16,Google,Екатеринбург
ORD-00111,2026-06-21 13:34:21,CLIENT-0105,Дмитрий Соколов,cancel,37829,27836.97,Telegram,Екатеринбург
ORD-00112,2026-02-18 17:50:45,CLIENT-0112,Анна Смирнова,new,12543,9629.07,Website,Екатеринбург
ORD-00113,2026-03-15 16:23:23,CLIENT-0146,Анна Смирнова,complete,66789,49030.56,Google,Екатеринбург
ORD-00114,2026-02-27 08:37:16,CLIENT-0097,Дмитрий Соколов,complete,51124,34140.12,Website,Москва
ORD-00115,2026-04-29 02:21:20,CLIENT-0264,Иван Петров,in_progress,72728,55137.5,Referral,Новосибирск
ORD-00116,2026-01-26 22:36:51,CLIENT-0181,Алексей Кузнецов,complete,79624,49385.9,Referral,Москва
ORD-00117,2026-05-16 06:17:10,CLIENT-0155,Дмитрий Соколов,complete,3721,2479.34,Instagram,Казань
ORD-00118,2026-02-13 17:41:59,CLIENT-0211,Елена Волкова,complete,75270,42377.22,Instagram,Новосибирск
ORD-00119,2026-01-29 18:14:56,CLIENT-0260,Анна Смирнова,complete,62312,35565.46,Telegram,Екатеринбург
ORD-00120,2026-05-23 07:58:59,CLIENT-0290,Алексей Кузнецов,complete,58597,43622.78,Google,Новосибирск
ORD-00121,2026-04-21 17:11:31,CLIENT-0047,Алексей Кузнецов,complete,5402,4372.91,Referral,Казань
ORD-00122,2026-03-07 07:17:00,CLIENT-0247,Алексей Кузнецов,complete,51841,36513.41,Website,Новосибирск
ORD-00123,2026-06-03 23:34:24,CLIENT-0089,Мария Орлова,complete,57420,29244.24,Referral,Санкт-Петербург
ORD-00124,2026-02-03 06:43:50,CLIENT-0264,Алексей Кузнецов,cancel,57121,31597.52,Telegram,Казань
ORD-00125,2026-03-15 04:57:19,CLIENT-0252,Алексей Кузнецов,complete,66674,35749.65,Referral,Новосибирск
ORD-00126,2026-06-10 14:50:20,CLIENT-0014,Анна Смирнова,new,22608,12246.56,Google,Новосибирск
ORD-00127,2026-06-08 02:39:12,CLIENT-0046,Иван Петров,complete,27567,21605.5,Telegram,Екатеринбург
ORD-00128,2026-05-08 21:43:30,CLIENT-0053,Дмитрий Соколов,complete,9164,7591.84,Website,Новосибирск
ORD-00129,2026-01-13 12:51:55,CLIENT-0361,Анна Смирнова,cancel,39536,20622.64,Referral,Москва
ORD-00130,2026-03-26 12:40:41,CLIENT-0255,Иван Петров,complete,41567,30043.95,Referral,Екатеринбург
ORD-00131,2026-03-03 13:19:55,CLIENT-0132,Елена Волкова,new,29371,15180.38,Telegram,Казань
ORD-00132,2026-02-26 18:06:51,CLIENT-0389,Алексей Кузнецов,complete,74407,60657.78,Website,Москва
ORD-00133,2026-06-30 17:15:15,CLIENT-0321,Иван Петров,in_progress,38066,17989.06,Telegram,Санкт-Петербург
ORD-00134,2026-02-23 07:11:19,CLIENT-0067,Алексей Кузнецов,in_progress,35289,21690.64,Telegram,Екатеринбург
ORD-00135,2026-01-22 19:23:41,CLIENT-0312,Алексей Кузнецов,cancel,10658,7067.45,Instagram,Казань
ORD-00136,2026-04-22 23:42:13,CLIENT-0256,Алексей Кузнецов,complete,38003,24570.1,Telegram,Санкт-Петербург
ORD-00137,2026-04-08 10:46:17,CLIENT-0298,Елена Волкова,complete,26750,19947.01,Website,Санкт-Петербург
ORD-00138,2026-06-18 22:50:13,CLIENT-0110,Алексей Кузнецов,in_progress,20703,14658.26,Telegram,Новосибирск
ORD-00139,2026-04-10 12:52:27,CLIENT-0116,Елена Волкова,new,21365,15582.34,Google,Москва
ORD-00140,2026-02-09 10:55:11,CLIENT-0258,Мария Орлова,complete,32654,22051.38,Instagram,Новосибирск
ORD-00141,2026-04-11 17:01:51,CLIENT-0113,Анна Смирнова,complete,43016,33504.44,Google,Казань
ORD-00142,2026-01-09 18:24:21,CLIENT-0369,Иван Петров,cancel,47705,26601.73,Instagram,Москва
ORD-00143,2026-04-10 04:33:01,CLIENT-0074,Иван Петров,new,35875,29038.8,Website,Казань
ORD-00144,2026-06-14 13:50:31,CLIENT-0128,Иван Петров,complete,16527,9420.3,Telegram,Казань
ORD-00145,2026-06-26 14:20:01,CLIENT-0369,Анна Смирнова,new,55340,33138.86,Website,Москва
ORD-00146,2026-01-11 05:12:47,CLIENT-0058,Дмитрий Соколов,in_progress,70533,56798.59,Telegram,Санкт-Петербург
ORD-00147,2026-01-29 07:18:56,CLIENT-0271,Алексей Кузнецов,complete,78581,54869.57,Instagram,Екатеринбург
ORD-00148,2026-03-25 06:13:21,CLIENT-0028,Иван Петров,complete,42671,28574.6,Website,Санкт-Петербург
ORD-00149,2026-05-03 09:21:23,CLIENT-0129,Елена Волкова,complete,38978,26052.22,Instagram,Казань
ORD-00150,2026-03-04 12:35:42,CLIENT-0036,Елена Волкова,complete,16599,12415.49,Website,Казань
ORD-00151,2026-02-13 20:57:38,CLIENT-0016,Алексей Кузнецов,complete,69500,50306.58,Website,Санкт-Петербург
ORD-00152,2026-05-25 14:28:42,CLIENT-0111,Мария Орлова,cancel,21602,15567.42,Instagram,Казань
ORD-00153,2026-04-20 11:22:05,CLIENT-0208,Елена Волкова,in_progress,53034,41538.99,Google,Санкт-Петербург
ORD-00154,2026-04-25 06:26:02,CLIENT-0005,Дмитрий Соколов,complete,4072,2707.52,Referral,Санкт-Петербург
ORD-00155,2026-03-27 20:43:35,CLIENT-0399,Дмитрий Соколов,cancel,16257,10303.87,Telegram,Новосибирск
ORD-00156,2026-04-24 03:42:31,CLIENT-0242,Дмитрий Соколов,complete,63553,29953.15,Website,Москва
ORD-00157,2026-06-23 13:08:21,CLIENT-0183,Елена Волкова,complete,72526,47376.26,Instagram,Казань
ORD-00158,2026-03-04 08:15:31,CLIENT-0184,Иван Петров,cancel,34432,16947.99,Referral,Москва
ORD-00159,2026-04-14 01:48:22,CLIENT-0321,Иван Петров,complete,48384,26678.76,,Екатеринбург
ORD-00160,2026-03-14 02:04:40,CLIENT-0175,Дмитрий Соколов,complete,41526,31209.4,Telegram,Санкт-Петербург
ORD-00161,2026-01-21 18:59:19,CLIENT-0059,Анна Смирнова,complete,10344,6067.78,Referral,Екатеринбург
ORD-00162,2026-01-19 18:23:48,CLIENT-0063,Иван Петров,complete,47693,35912.35,,Новосибирск
ORD-00163,2026-05-11 03:13:55,CLIENT-0117,Мария Орлова,complete,25899,15769.85,Google,Казань
ORD-00164,2026-01-16 08:15:31,CLIENT-0190,Дмитрий Соколов,complete,63464,47419.95,Instagram,Санкт-Петербург
ORD-00165,2026-03-15 01:08:36,CLIENT-0137,Анна Смирнова,complete,18782,12744.93,Referral,Москва
ORD-00166,2026-03-29 02:05:22,CLIENT-0094,Алексей Кузнецов,new,6437,4576.45,Instagram,Екатеринбург
ORD-00167,2026-04-21 11:31:23,CLIENT-0131,Алексей Кузнецов,in_progress,71760,56002.22,Google,Санкт-Петербург
ORD-00168,2026-02-16 02:57:25,CLIENT-0217,Дмитрий Соколов,cancel,74319,57340.47,Referral,Санкт-Петербург
ORD-00169,2026-04-07 08:28:41,CLIENT-0083,Елена Волкова,new,73301,60412.61,Google,Москва
ORD-00170,2026-02-22 09:17:22,CLIENT-0372,Елена Волкова,complete,8302,6843.45,Google,Екатеринбург
ORD-00171,2026-01-16 21:38:33,CLIENT-0061,Иван Петров,new,55188,42041.71,Instagram,Новосибирск
ORD-00172,2026-06-10 20:47:51,CLIENT-0266,Иван Петров,new,65773,30781.23,Google,Москва
ORD-00173,2026-04-15 00:12:11,CLIENT-0069,Дмитрий Соколов,in_progress,57468,29692.52,,Казань
ORD-00174,2026-02-16 18:00:39,CLIENT-0284,Алексей Кузнецов,complete,68744,53016.6,Google,Новосибирск
ORD-00175,2026-05-12 23:08:54,CLIENT-0133,Анна Смирнова,complete,50184,41214.8,Instagram,Екатеринбург
ORD-00176,2026-06-12 04:03:32,CLIENT-0130,Мария Орлова,in_progress,21705,12011.27,Telegram,Екатеринбург
ORD-00177,2026-03-06 16:41:41,CLIENT-0116,Елена Волкова,new,20073,16731.35,Google,Екатеринбург
ORD-00178,2026-01-26 09:57:40,CLIENT-0284,Дмитрий Соколов,complete,34434,23451.1,Instagram,Санкт-Петербург
ORD-00179,2026-06-11 18:24:53,CLIENT-0030,Алексей Кузнецов,cancel,23064,17631.87,Google,Новосибирск
ORD-00180,2026-03-19 12:10:50,CLIENT-0280,Анна Смирнова,complete,19931,14331.89,Google,Новосибирск
ORD-00181,2026-05-29 06:47:03,CLIENT-0092,Дмитрий Соколов,in_progress,55058,32635.33,Google,Санкт-Петербург
ORD-00182,2026-04-04 23:16:03,CLIENT-0154,Алексей Кузнецов,complete,14610,9579.98,Google,Москва
ORD-00183,2026-04-19 18:32:10,CLIENT-0131,Иван Петров,complete,51841,38979.22,Website,Казань
ORD-00184,2026-05-24 12:21:57,CLIENT-0223,Анна Смирнова,cancel,16538,8186.43,Website,Санкт-Петербург
ORD-00185,2026-02-23 22:41:58,CLIENT-0197,Елена Волкова,complete,30810,23961.33,Website,Санкт-Петербург
ORD-00186,2026-02-05 07:54:55,CLIENT-0391,Дмитрий Соколов,complete,18845,14575.62,Instagram,Новосибирск
ORD-00187,2026-02-13 18:50:43,CLIENT-0344,Елена Волкова,in_progress,7942,5602.08,Website,Екатеринбург
ORD-00188,2026-05-05 02:14:29,CLIENT-0253,Анна Смирнова,cancel,58206,35471.81,Google,Санкт-Петербург
ORD-00189,2026-02-10 16:36:26,CLIENT-0202,Елена Волкова,complete,8878,5729.7,Referral,Казань
ORD-00190,2026-05-02 13:45:42,CLIENT-0227,Анна Смирнова,new,8591,6774.53,Google,Екатеринбург
ORD-00191,2026-02-25 10:16:03,CLIENT-0101,Дмитрий Соколов,complete,53436,35199.98,Google,Екатеринбург
ORD-00192,2026-06-17 04:46:06,CLIENT-0313,Анна Смирнова,cancel,63091,29506.39,Google,Казань
ORD-00193,2026-03-05 15:37:03,CLIENT-0290,Алексей Кузнецов,complete,11503,9734.15,Telegram,Екатеринбург
ORD-00194,2026-02-06 17:39:40,CLIENT-0241,Иван Петров,in_progress,38116,30961.01,,Екатеринбург
ORD-00195,2026-03-03 16:33:02,CLIENT-0306,Мария Орлова,complete,44590,34249.05,Instagram,Москва
ORD-00196,2026-01-29 04:02:32,CLIENT-0295,Иван Петров,complete,71135,54514.4,Instagram,Екатеринбург
ORD-00197,2026-02-18 16:39:42,CLIENT-0189,Иван Петров,new,46521,27199.85,Website,Казань
ORD-00198,2026-02-04 14:29:06,CLIENT-0229,Елена Волкова,complete,13978,11026.64,Telegram,Москва
ORD-00199,2026-05-23 05:21:04,CLIENT-0076,Алексей Кузнецов,complete,22155,17910.19,Instagram,Казань
ORD-00200,2026-02-23 01:51:44,CLIENT-0312,Дмитрий Соколов,complete,47750,37758.21,Telegram,Москва
ORD-00201,2026-01-23 08:12:18,CLIENT-0204,Елена Волкова,complete,37801,28420.27,Instagram,Екатеринбург
ORD-00202,2026-06-12 14:27:27,CLIENT-0065,Дмитрий Соколов,complete,38034,23410.66,Telegram,Казань
ORD-00203,2026-05-04 09:31:05,CLIENT-0263,Анна Смирнова,new,65969,30929.34,Telegram,Екатеринбург
ORD-00204,2026-06-13 21:08:03,CLIENT-0069,Мария Орлова,in_progress,41803,33181.29,Google,Москва
ORD-00205,2026-06-26 05:41:56,CLIENT-0021,Дмитрий Соколов,complete,24471,19692.99,Website,Екатеринбург
ORD-00206,2026-03-17 10:28:21,CLIENT-0301,Елена Волкова,cancel,28876,15683.58,Google,Екатеринбург
ORD-00207,2026-06-02 07:28:43,CLIENT-0234,Елена Волкова,complete,10247,6092.07,Telegram,Казань
ORD-00208,2026-05-07 18:03:03,CLIENT-0130,Иван Петров,new,67060,31042.46,Referral,Москва
ORD-00209,2026-05-06 14:06:11,CLIENT-0271,Алексей Кузнецов,complete,25716,11933.3,Google,Казань
ORD-00210,2026-05-01 23:19:38,CLIENT-0335,Елена Волкова,complete,45585,27660.61,Google,Санкт-Петербург
ORD-00211,2026-05-15 18:30:01,CLIENT-0243,Алексей Кузнецов,in_progress,79187,49135.22,Telegram,Москва
ORD-00212,2026-06-06 17:11:09,CLIENT-0299,Иван Петров,complete,59684,46608.79,Telegram,Новосибирск
ORD-00213,2026-05-14 22:27:46,CLIENT-0257,Елена Волкова,complete,76874,54901.36,Referral,Екатеринбург
ORD-00214,2026-03-09 19:12:15,CLIENT-0269,Алексей Кузнецов,complete,38162,27486.35,Telegram,Екатеринбург
ORD-00215,2026-02-15 07:44:59,CLIENT-0024,Алексей Кузнецов,in_progress,4922,3405.25,Website,Казань
ORD-00216,2026-05-04 22:41:24,CLIENT-0357,Анна Смирнова,complete,65390,53632.98,,Новосибирск
ORD-00217,2026-03-14 15:12:36,CLIENT-0005,Елена Волкова,complete,49703,39693.42,Telegram,Москва
ORD-00218,2026-04-16 03:23:45,CLIENT-0026,Иван Петров,new,47323,27141.13,Google,Казань
ORD-00219,2026-06-02 17:41:08,CLIENT-0312,Иван Петров,new,41573,34663.2,Telegram,Санкт-Петербург
ORD-00220,2026-02-23 20:17:06,CLIENT-0216,Алексей Кузнецов,complete,42651,24204.47,Referral,Москва
ORD-00221,2026-05-14 02:20:27,CLIENT-0323,Дмитрий Соколов,cancel,8534,5948.3,Google,Новосибирск
ORD-00222,2026-03-28 09:32:02,CLIENT-0185,Дмитрий Соколов,complete,42223,31562.78,Google,Казань
ORD-00223,2026-03-11 23:03:24,CLIENT-0190,Мария Орлова,in_progress,22187,10260.93,Telegram,Екатеринбург
ORD-00224,2026-02-28 05:37:20,CLIENT-0150,Дмитрий Соколов,cancel,17616,12039.56,Referral,Казань
ORD-00225,2026-03-16 16:46:26,CLIENT-0059,Елена Волкова,complete,14328,10108.14,Instagram,Казань
ORD-00226,2026-03-14 03:36:51,CLIENT-0264,Анна Смирнова,complete,10105,4961.5,Instagram,Санкт-Петербург
ORD-00227,2026-04-20 15:25:32,CLIENT-0345,Дмитрий Соколов,cancel,11952,6421.79,Google,Москва
ORD-00228,2026-06-17 15:10:56,CLIENT-0010,Елена Волкова,new,73509,43050.69,Website,Санкт-Петербург
ORD-00229,2026-03-05 09:53:58,CLIENT-0129,Анна Смирнова,in_progress,79245,53115.25,Referral,Санкт-Петербург
ORD-00230,2026-03-25 15:00:32,CLIENT-0019,Алексей Кузнецов,in_progress,75788,55341.94,Telegram,Москва
ORD-00231,2026-06-28 20:42:12,CLIENT-0112,Мария Орлова,in_progress,15278,11528.7,Google,Москва
ORD-00232,2026-06-18 05:45:28,CLIENT-0227,Иван Петров,complete,22175,10535.95,Google,Казань
ORD-00233,2026-04-06 15:03:44,CLIENT-0117,Иван Петров,complete,61002,32336.66,Website,Москва
